1,Goldee’s Barbecue,4645 Dick Price Rd,Fort Worth,817-480-4131,Fri–Sun 11–sold out
2,InterStellar BBQ,12233 RR 620 N.,Austin,512-382-6248,Wed–Sun 11–5
3,Truth Barbeque,110 S. Heights Blvd,Houston,832-835-0001,Tue–Sun 11–4
4,Burnt Bean Co.,108 S. Austin,Seguin,830-609-7189,Thur–Sat 11–3
5,LeRoy and Lewis Barbecue,121 Pickle Rd,Austin,512-945-9882,Wed–Sun 11–9
6,Cattleack Barbeque,13628 Gamma Rd,Dallas,972-805-0999,Thur & Fri 10:30–2 & First Sat of the month 10:30–2
7,Franklin Barbecue,900 E. 11th,Austin,512-653-1187,Order online and pick up Tue–Sun 10:30–2
8,Evie Mae’s Pit Barbeque,217 U.S. 62,Wolfforth,806-782-2281,Wed–Sat 11–sold out
9,Snow’s BBQ,516 Main,Lexington,979-773-4640,Sat 8–sold out
10,Panther City,201 E. Hattie,Fort Worth,682-499-5618,Sun & Wed 11–2 & Thur–Sat 11–5
